dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Pubmed,gate_gt,0:0,0,0,39,0.7220000624656677,1.4657319784164429,0.7160000205039978,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.517695426940918,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.18597390303355368,0.23364218000052053,-0.16570518945449159,-0.04526027739290826,0.6066360153242877,0.015250571438977432,0.6359068751335144,0.1782568246126175,0.23743242025375366,0.9961234331130981,2.7455673217773438,1.4414006471633911,1.7549394369125366,-0.36077168583869934,0.24323603510856628,0.6638584136962891,0.12821395695209503,-0.7997269630432129,0.7447237968444824,0.09990429878234863,0.379136323928833,0.9960512518882751,5.247898578643799,2.218942880630493,3.381664991378784,0.0781836062669754,0.5270899534225464,0.25660935044288635,0.09572850167751312,0.9961956739425659
Pubmed,gate_gt,0:1,0,1,68,0.7440000176429749,1.590083360671997,0.7210000157356262,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.727596282958984,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06335098691431873,0.26467251711169865,0.02047805697747871,0.03138637665913276,0.5667720328404816,0.17065843121086358,0.6699175238609314,0.2236289530992508,0.30990976095199585,0.9963680505752563,2.9767544269561768,1.17526376247406,1.9787335395812988,-0.33642256259918213,0.26289665699005127,0.6020449995994568,0.16232681274414062,-0.6513534188270569,0.7918025255203247,0.06738413125276566,0.6195234060287476,0.9927362203598022,5.690612316131592,1.7484824657440186,3.795140266418457,-0.021491680294275284,0.5480325222015381,0.37987378239631653,0.0002960987912956625,0.9999998807907104
Pubmed,gate_gt,0:2,0,2,40,0.7480000257492065,1.1832350492477417,0.7430000305175781,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.9899990558624268,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.10390659669039823,0.19853703288796934,-0.13785231520226296,-0.13575293848091255,0.5306474129970474,-0.09468724358786827,0.6892009973526001,0.1519383192062378,0.25779902935028076,0.9974002838134766,3.216089963912964,1.386176347732544,2.4594497680664062,-0.49074986577033997,0.3384286165237427,0.6152888536453247,0.1590120494365692,-0.778884768486023,0.6615476608276367,0.10757297277450562,0.2347673624753952,0.9952358603477478,6.093751430511475,2.1570639610290527,4.7598876953125,-0.2026149481534958,0.7168543934822083,0.19630368053913116,0.2808306813240051,0.9995647072792053
Pubmed,gate_gt,0:3,0,3,78,0.7260000109672546,1.8064578771591187,0.7160000205039978,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.018758296966553,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5001780588898023,-0.3913097638687366,-0.5388069076116531,-0.636076906639233,-0.3555984960507619,-0.24414467524486952,0.6101540327072144,0.0799720361828804,0.16861659288406372,0.8178831338882446,2.9546058177948,1.2776634693145752,1.6928070783615112,-0.29503288865089417,0.31617164611816406,0.6086135506629944,0.13151945173740387,-0.8466526865959167,0.7037544250488281,0.0944485068321228,0.14709503948688507,0.8455942869186401,5.5930399894714355,1.9467134475708008,3.2540946006774902,0.2565869092941284,0.5165536999702454,0.065495565533638,0.19013816118240356,0.7901720404624939
Pubmed,gate_gt,0:4,0,4,40,0.7360000610351562,1.4020839929580688,0.7380000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.9001407623291016,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2296759484815107,0.11426033478727468,-0.2656612997984201,-0.23796408945123032,0.6275061309365206,-0.0620626762043777,0.6645967960357666,0.2159852683544159,0.26258552074432373,0.9997249245643616,3.0898590087890625,1.7709343433380127,2.18619704246521,-0.3949902057647705,0.2816135585308075,0.6663978099822998,0.15617172420024872,-0.7498424053192139,0.7541369795799255,0.09680601209402084,0.5251635909080505,0.9999579191207886,5.898104667663574,2.8754708766937256,4.216222286224365,-0.04013802483677864,0.5750566720962524,0.33516451716423035,7.466978331649443e-06,0.9994919300079346
Pubmed,gate_gt,0:5,0,5,24,0.7280000448226929,1.1256661415100098,0.7330000400543213,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.445254325866699,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007136578515095649,-0.15290592685112914,-0.036462621377970295,0.15260261467493863,-0.670676635815108,0.039501958685516356,0.6258642673492432,0.10938718914985657,0.4511263370513916,0.899604320526123,2.2962698936462402,1.1783679723739624,1.4259499311447144,-0.40311840176582336,0.37140247225761414,0.6074399948120117,0.15705366432666779,-0.8201813697814941,0.6706691384315491,0.049159031361341476,0.5014005899429321,0.8058207035064697,4.221137523651123,1.749295949935913,2.6948461532592773,0.01394459418952465,0.5810593366622925,0.16961534321308136,0.4008520543575287,0.9933879375457764
Pubmed,gate_gt,0:6,0,6,44,0.7500000596046448,1.4080491065979004,0.7360000610351562,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.069572925567627,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2239259763060178,0.34971094160800936,-0.18047761655709685,0.05741280738048337,0.6266612691392072,0.12292723777954706,0.6445484161376953,0.1407260298728943,0.35867834091186523,0.9935617446899414,3.1113083362579346,1.46865713596344,2.0080161094665527,-0.4362856447696686,0.35959500074386597,0.7195597290992737,0.15271757543087006,-0.8615269660949707,0.6488340497016907,0.08983752131462097,0.41268807649612427,0.9871259331703186,5.8630218505859375,2.217754602432251,3.8633148670196533,-0.011044323444366455,0.6402628421783447,0.1916145384311676,0.3046686053276062,0.999997615814209
Pubmed,gate_gt,0:7,0,7,46,0.7200000286102295,1.416900873184204,0.7240000367164612,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.122658014297485,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.15943180769808224,0.328935362816374,-0.12465063917602343,0.08834133437502226,0.7361449391226431,0.08918748277088834,0.6287431716918945,0.162848562002182,0.19353947043418884,0.9966431856155396,2.7891411781311035,1.1637756824493408,1.669197678565979,-0.38131946325302124,0.26259174942970276,0.5754276514053345,0.13282081484794617,-0.8071280717849731,0.7060697078704834,0.08882076293230057,0.3645039498806,0.9932888150215149,5.315690517425537,1.7521238327026367,3.2055745124816895,0.04448914900422096,0.5514166951179504,0.23687635362148285,0.02257498726248741,0.9999974966049194
Pubmed,gate_gt,0:8,0,8,55,0.7420000433921814,1.3158977031707764,0.7420000433921814,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.3371422290802,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.19582296002872032,0.11246694137134947,-0.14412534370419341,-0.2904922724783737,-0.27113656140616577,0.22514703736671676,0.6248148083686829,0.1841394454240799,0.24161870777606964,0.9555051326751709,3.0789072513580322,1.501016616821289,1.890797734260559,-0.4233975112438202,0.30240902304649353,0.6536718010902405,0.1353178322315216,-0.8409442901611328,0.7600560188293457,0.10580605268478394,0.4817308187484741,0.9186887145042419,5.855405330657959,2.3483614921569824,3.646277666091919,-0.005850714165717363,0.4895736277103424,0.26247283816337585,0.0015065983170643449,0.9923215508460999
Pubmed,gate_gt,0:9,0,9,75,0.734000027179718,1.5897990465164185,0.7400000095367432,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.881341218948364,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.032366315768929,0.3822270314917621,0.015008340865909976,0.0236657866271804,0.7005608461908314,0.29109893044403595,0.5918549299240112,0.18143992125988007,0.3095863163471222,0.9985801577568054,3.0726938247680664,1.3568987846374512,1.9033329486846924,-0.24736076593399048,0.23611609637737274,0.5938020944595337,0.1586543321609497,-0.6079251766204834,0.7407884001731873,0.052959050983190536,0.6082173585891724,0.9971802234649658,5.909271717071533,2.119995594024658,3.6480116844177246,0.11320363730192184,0.44292140007019043,0.3099207878112793,0.010955292731523514,0.999980092048645
